art,bio,che,eng,fre,ger,spa,mat,mus,phy,soc,
0,2,1,0,0.4,0,0.6,1,0,1,1,
125,80,87,128,97,67,108,114,196,82,87,
129,67,103,126,109,71,84,119,206,87,82,
130,58,98,125,103,61,99,125,199,112,72,
125,79,87,128,111,67,94,115,196,84,87,
129,68,102,126,95,71,96,119,206,87,82,
130,58,98,125,117,61,87,125,199,111,72,
125,78,88,128,98,67,107,115,197,85,86,
129,68,101,126,109,71,85,119,205,87,82,
130,59,98,125,102,62,99,125,199,109,73,
125,77,88,128,112,66,93,116,197,86,85,
129,69,101,127,95,70,97,119,205,87,82,
130,59,98,125,116,62,87,124,200,108,73,
126,76,89,127,98,66,106,116,197,88,85,
129,69,100,127,109,70,86,118,204,87,83,
130,60,99,125,102,63,99,124,200,107,74,
126,75,89,127,112,66,93,116,197,88,84,
128,69,99,127,96,70,98,118,204,87,83,
130,60,99,125,116,63,87,124,200,106,74,
126,75,90,127,98,66,105,117,197,89,84,
128,70,99,127,109,70,86,118,204,87,83,
130,61,99,125,101,63,99,123,200,105,75,
126,74,90,127,112,66,92,117,197,90,83,
128,70,98,127,96,70,99,118,203,87,83,
130,61,99,126,115,64,87,123,200,104,75,
126,73,91,127,99,66,105,117,197,91,83,
128,70,98,127,110,69,87,118,203,88,83,
130,62,99,126,101,64,99,123,200,104,75,
126,73,91,127,113,66,92,118,198,92,82,
128,70,98,127,96,69,99,118,203,88,83,
129,62,99,126,115,64,87,123,201,103,76,
127,72,91,127,99,66,104,118,198,92,82,
128,70,97,127,110,69,87,118,202,88,83,
129,63,98,126,100,64,99,122,201,102,76,
127,72,92,127,113,65,91,118,198,93,82,
128,70,97,127,96,69,100,118,202,88,83,
129,63,98,126,114,65,87,122,201,101,76,
127,71,92,127,99,65,104,118,198,93,82,
128,70,97,127,110,69,88,118,202,88,83,
129,63,98,126,100,65,99,122,201,101,77,
127,71,92,127,113,65,91,119,198,93,81,
128,70,97,127,97,69,100,118,202,89,82,
129,64,98,126,114,65,87,122,201,100,77,
127,71,93,127,99,65,103,119,198,94,81,
128,70,96,127,111,68,88,118,202,89,82,
129,64,98,126,99,65,99,122,201,100,77,
127,70,93,127,113,65,90,119,198,94,81,
128,70,96,127,97,68,101,118,201,89,82,
129,64,98,126,113,65,87,122,201,99,78,
127,70,93,127,99,65,103,119,199,94,81,
128,70,96,127,111,68,88,118,201,89,82,
129,65,98,126,99,65,99,121,201,99,78,
127,70,93,127,113,65,90,119,199,94,81,
128,70,96,127,97,68,101,118,201,90,82,
129,65,98,126,113,66,87,121,201,98,78,
127,69,94,127,99,65,103,119,199,95,80,
128,70,96,127,111,68,88,118,201,90,82,
129,65,98,126,99,66,99,121,201,98,78,
128,69,94,127,113,65,90,119,199,95,80,
128,70,96,127,97,68,101,118,201,90,82,
129,65,98,126,113,66,87,121,201,97,78,
128,69,94,127,99,65,102,119,199,95,80,
128,70,96,127,111,68,88,118,201,90,82,
129,66,98,126,99,66,100,121,201,97,79,
128,69,94,126,113,65,89,119,199,95,80,
128,70,96,127,97,67,101,118,201,91,82,
129,66,97,126,113,66,87,121,201,97,79,
128,69,94,126,99,65,102,120,199,95,80,
128,70,96,127,111,67,88,119,201,91,82,
129,66,97,126,99,66,100,121,201,96,79,
128,69,95,126,113,66,89,120,199,95,80,
128,70,95,127,98,67,101,119,201,91,82,
129,66,97,126,113,66,87,120,201,96,79,
128,68,95,126,99,66,102,120,199,95,80,
128,70,95,127,112,67,89,119,201,91,82,
129,67,97,126,99,66,100,120,201,96,79,
128,68,95,126,113,66,89,120,199,95,80,
128,70,95,127,98,67,101,119,201,92,81,
128,67,97,126,113,66,88,120,201,96,79,
128,68,95,126,99,66,102,120,200,95,80,
128,70,95,127,112,67,89,119,200,92,81,
128,67,97,126,99,66,100,120,201,95,79,
128,68,95,126,113,66,89,120,200,95,80,
128,70,95,127,98,67,101,119,200,92,81,
128,67,97,126,112,66,88,120,201,95,79,
128,68,95,126,99,66,101,120,200,95,80,
128,70,95,127,112,67,89,119,200,92,81,
128,67,97,126,98,66,100,120,201,95,80,
128,68,95,126,113,66,89,120,200,95,80,
128,70,95,127,98,67,101,119,200,92,81,
128,67,97,126,112,66,88,120,201,95,80,
128,68,95,126,99,66,101,120,200,95,80,
128,69,95,127,112,67,89,119,200,92,81,
128,67,97,126,98,66,100,120,201,95,80,
128,68,95,126,113,66,89,120,200,95,80,
128,69,95,127,98,67,101,119,200,93,81,
128,67,97,126,112,66,88,120,201,95,80,
128,68,95,126,99,66,101,120,200,95,80,
128,69,95,127,112,67,89,119,200,93,81,
128,68,97,126,98,66,100,120,201,95,80,
128,68,95,126,113,66,89,120,200,95,80,
128,69,95,127,98,67,101,119,200,93,81,
128,68,97,126,112,66,88,120,201,95,80,
128,68,96,126,99,66,101,120,200,95,80,
128,69,95,127,112,67,89,119,200,93,81,
128,68,96,126,98,66,100,120,201,94,80,
128,68,96,126,113,66,89,120,200,95,80,
128,69,95,127,98,67,101,119,200,93,81,
128,68,96,126,112,66,88,120,201,94,80,
128,68,96,126,99,66,101,120,200,95,80,
128,69,95,127,112,67,89,119,200,93,81,
128,68,96,126,98,66,100,120,201,94,80,
128,68,96,126,113,66,88,120,200,95,80,
128,69,95,127,98,67,101,119,200,93,81,
128,68,96,126,112,66,88,120,201,94,80,
128,68,96,126,99,66,101,120,200,95,80,
128,69,95,127,112,66,89,119,200,93,81,
128,68,96,126,98,66,101,120,201,94,80,
128,68,96,126,113,66,88,120,200,95,80,
128,69,95,127,98,66,101,119,200,93,81,
128,68,96,126,112,66,88,120,201,94,80,
128,68,96,126,99,66,101,120,200,95,80,
128,69,95,127,112,66,89,119,200,93,81,
128,68,96,126,98,66,101,120,201,94,80,
128,68,96,126,113,66,88,120,200,95,80,
128,69,95,126,98,66,101,119,200,94,81,
128,68,96,126,112,66,88,120,201,94,80,
128,68,96,126,99,66,101,120,200,95,80,
128,69,95,126,112,66,89,119,200,94,81,
128,68,96,126,98,66,101,120,201,94,80,
128,68,96,126,113,66,88,120,200,95,80,
128,69,95,126,98,66,101,119,200,94,80,
128,68,96,126,112,66,88,120,200,94,80,
128,68,96,126,99,66,101,120,200,95,80,
128,69,96,126,112,66,89,119,200,94,80,
128,68,96,126,98,66,101,120,200,94,80,
128,68,96,126,113,66,88,120,200,95,80,
128,69,96,126,98,66,101,119,200,94,80,
128,68,96,126,112,66,88,120,200,94,80,
128,68,96,126,99,66,101,120,200,95,80,
128,69,96,126,112,66,89,119,200,94,80,
128,68,96,126,98,66,101,120,200,94,80,
128,68,96,126,113,66,88,120,200,95,80,
128,69,96,126,98,66,101,119,200,94,80,
128,68,96,126,112,66,88,120,200,94,80,
128,68,96,126,99,66,101,120,200,95,80,
128,69,96,126,112,66,89,119,200,94,80,
128,68,96,126,98,66,101,120,200,94,80,
128,68,96,126,113,66,88,120,200,95,80,
128,69,96,126,98,66,101,119,200,94,80,
128,68,96,126,112,66,88,120,200,94,80,
128,68,96,126,99,66,101,120,200,95,80,
128,69,96,126,112,66,88,119,200,94,80,
128,68,96,126,98,66,101,120,200,94,80,
128,68,96,126,113,66,88,120,200,95,80,
128,68,96,126,98,66,101,119,200,94,80,
128,68,96,126,112,66,88,120,200,94,80,
128,68,96,126,98,66,101,120,200,95,80,
128,68,96,126,112,66,88,119,200,94,80,
128,68,96,126,98,66,101,120,200,94,80,
128,68,96,126,112,66,88,120,200,94,80,
128,68,96,126,98,66,101,119,200,94,80,
128,68,96,126,112,66,88,120,200,94,80,
128,68,96,126,98,66,101,120,200,94,80,
128,68,96,126,112,66,88,119,200,94,80,
128,68,96,126,98,66,101,120,200,94,80,
128,68,96,126,112,66,88,120,200,94,80,
128,68,96,126,98,66,101,120,200,94,80,
128,68,96,126,112,66,88,120,200,94,80,
128,68,96,126,98,66,101,120,200,94,80,
128,68,96,126,112,66,88,120,200,94,80,
128,68,96,126,98,66,101,120,200,94,80,
128,68,96,126,112,66,88,120,200,94,80,
128,68,96,126,98,66,101,120,200,94,80,
128,68,96,126,112,66,88,120,200,94,80,
128,68,96,126,98,66,101,120,200,94,80,
128,68,96,126,112,66,88,120,200,94,80,
128,68,96,126,98,66,101,120,200,94,80,
128,68,96,126,112,66,88,120,200,94,80,
128,68,96,126,98,66,101,120,200,94,80,
128,68,96,126,112,66,88,120,200,94,80,
128,68,96,126,98,66,101,120,200,94,80,
128,68,96,126,112,66,88,120,200,94,80,
128,68,96,126,98,66,101,120,200,94,80,
128,68,96,126,112,66,88,120,200,94,80,
128,68,96,126,98,66,101,120,200,94,80,
128,68,96,126,112,66,88,120,200,94,80,
128,68,96,126,98,66,101,120,200,94,80,
128,68,96,126,112,66,88,120,200,94,80,
128,68,96,126,98,66,101,120,200,94,80,
128,68,96,126,112,66,88,120,200,94,80,
128,68,96,126,98,66,101,120,200,94,80,
128,68,96,126,112,66,88,120,200,94,80,
128,68,96,126,98,66,101,120,200,94,80,
128,68,96,126,112,66,88,120,200,94,80,
128,68,96,126,98,66,101,120,200,94,80,
128,68,96,126,112,66,88,120,200,94,80,
128,68,96,126,98,66,101,120,200,94,80,
128,68,96,126,112,66,88,120,200,94,80,
128,68,96,126,98,66,101,120,200,94,80,
128,68,96,126,112,66,88,120,200,94,80,
128,68,96,126,98,66,101,120,200,94,80,
128,68,96,126,112,66,88,120,200,94,80,
128,68,96,126,98,66,101,120,200,94,80,
128,68,96,126,112,66,88,120,200,94,80,
128,68,96,126,98,66,101,120,200,94,80,
128,68,96,126,112,66,88,120,200,94,80,
128,68,96,126,98,66,101,120,200,94,80,
128,68,96,126,112,66,88,120,200,94,80,
128,68,96,126,98,66,101,120,200,94,80,
128,68,96,126,112,66,88,120,200,94,80,
128,68,96,126,98,66,101,120,200,94,80,
128,68,96,126,112,66,88,120,200,94,80,
128,68,96,126,98,66,101,120,200,94,80,
128,68,96,126,112,66,88,120,200,94,80,
128,68,96,126,98,66,101,120,200,94,80,
128,68,96,126,112,66,88,120,200,94,80,
128,68,96,126,98,66,101,120,200,94,80,
128,68,96,126,112,66,88,120,200,94,80,
128,68,96,126,98,66,101,120,200,94,80,
128,68,96,126,112,66,88,120,200,94,80,
128,68,96,126,98,66,101,120,200,94,80,
128,68,96,126,112,66,88,120,200,94,80,
128,68,96,126,98,66,101,120,200,94,80,
128,68,96,126,112,66,88,120,200,94,80,
128,68,96,126,98,66,101,120,200,94,80,
128,68,96,126,112,66,88,120,200,94,80,
128,68,96,126,98,66,101,120,200,94,80,
128,68,96,126,112,66,88,120,200,94,80,
128,68,96,126,98,66,101,120,200,94,80,
128,68,96,126,112,66,88,120,200,94,80,
128,68,96,126,98,66,101,120,200,94,80,
128,68,96,126,112,66,88,120,200,94,80,
128,68,96,126,98,66,101,120,200,94,80,
128,68,96,126,112,66,88,120,200,94,80,
128,68,96,126,98,66,101,120,200,94,80,
128,68,96,126,112,66,88,120,200,94,80,
