art,bio,che,eng,fre,ger,spa,mat,mus,phy,soc,
0,0,0,0,0,0,0,0,0,0,0,
125,120,115,128,155,67,151,133,196,110,105,
129,101,137,126,152,71,134,139,206,116,98,
130,87,131,125,165,61,139,146,199,149,86,
125,118,116,128,155,67,150,134,196,112,104,
129,102,136,126,152,71,135,139,206,116,98,
130,87,131,125,164,61,139,146,199,147,87,
125,117,117,128,156,67,150,134,197,113,103,
129,102,135,126,152,71,135,138,205,116,99,
130,88,131,125,163,62,139,145,199,146,87,
125,115,118,128,156,66,149,135,197,115,102,
129,103,134,127,152,70,136,138,205,116,99,
130,89,131,125,163,62,138,145,200,144,88,
126,114,118,127,156,66,148,135,197,117,102,
129,104,133,127,153,70,137,138,204,116,99,
130,90,131,125,162,63,138,145,200,143,88,
