art,bio,che,eng,fre,ger,spa,mat,mus,phy,soc,
0,0,1,2,0.4,0,0.6,1,0,1,1,
125,120,87,92,97,67,108,114,196,82,87,
129,101,103,90,109,71,84,119,206,87,82,
130,87,98,89,103,61,99,125,199,112,72,
125,118,87,91,111,67,94,115,196,84,87,
129,102,102,90,95,71,96,119,206,87,82,
130,87,98,90,117,61,87,125,199,111,72,
125,117,88,91,98,67,107,115,197,85,86,
129,102,101,90,109,71,85,119,205,87,82,
130,88,98,90,102,62,99,125,199,109,73,
125,115,88,91,112,66,93,116,197,86,85,
129,103,101,91,95,70,97,119,205,87,82,
130,89,98,90,116,62,87,124,200,108,73,
126,114,89,91,98,66,106,116,197,88,85,
129,104,100,91,109,70,86,118,204,87,83,
130,90,99,90,102,63,99,124,200,107,74,
126,113,89,91,112,66,93,116,197,88,84,
128,104,99,91,96,70,98,118,204,87,83,
130,90,99,90,116,63,87,124,200,106,74,
126,112,90,91,98,66,105,117,197,89,84,
128,104,99,91,109,70,86,118,204,87,83,
130,91,99,90,101,63,99,123,200,105,75,
126,111,90,91,112,66,92,117,197,90,83,
128,105,98,91,96,70,99,118,203,87,83,
130,92,99,90,115,64,87,123,200,104,75,
126,110,91,91,99,66,105,117,197,91,83,
128,105,98,91,110,69,87,118,203,88,83,
130,92,99,90,101,64,99,123,200,104,75,
126,109,91,91,113,66,92,118,198,92,82,
128,105,98,91,96,69,99,118,203,88,83,
129,93,99,90,115,64,87,123,201,103,76,
127,108,91,91,99,66,104,118,198,92,82,
128,105,97,91,110,69,87,118,202,88,83,
129,94,98,90,100,64,99,122,201,102,76,
127,107,92,91,113,65,91,118,198,93,82,
128,105,97,91,96,69,100,118,202,88,83,
129,94,98,90,114,65,87,122,201,101,76,
127,107,92,91,99,65,104,118,198,93,82,
128,105,97,91,110,69,88,118,202,88,83,
129,95,98,90,100,65,99,122,201,101,77,
127,106,92,91,113,65,91,119,198,93,81,
128,105,97,91,97,69,100,118,202,89,82,
129,95,98,90,114,65,87,122,201,100,77,
127,106,93,91,99,65,103,119,198,94,81,
128,105,96,91,111,68,88,118,202,89,82,
129,96,98,90,99,65,99,122,201,100,77,
127,105,93,91,113,65,90,119,198,94,81,
128,105,96,91,97,68,101,118,201,89,82,
129,96,98,90,113,65,87,122,201,99,78,
127,105,93,91,99,65,103,119,199,94,81,
128,105,96,91,111,68,88,118,201,89,82,
129,97,98,90,99,65,99,121,201,99,78,
127,104,93,91,113,65,90,119,199,94,81,
128,105,96,91,97,68,101,118,201,90,82,
129,97,98,90,113,66,87,121,201,98,78,
127,104,94,91,99,65,103,119,199,95,80,
128,105,96,91,111,68,88,118,201,90,82,
129,98,98,90,99,66,99,121,201,98,78,
128,104,94,91,113,65,90,119,199,95,80,
128,105,96,91,97,68,101,118,201,90,82,
129,98,98,90,113,66,87,121,201,97,78,
128,103,94,91,99,65,102,119,199,95,80,
128,105,96,91,111,68,88,118,201,90,82,
129,98,98,90,99,66,100,121,201,97,79,
128,103,94,90,113,65,89,119,199,95,80,
128,105,96,91,97,67,101,118,201,91,82,
129,99,97,90,113,66,87,121,201,97,79,
128,103,94,90,99,65,102,120,199,95,80,
128,105,96,91,111,67,88,119,201,91,82,
129,99,97,90,99,66,100,121,201,96,79,
128,103,95,90,113,66,89,120,199,95,80,
128,105,95,91,98,67,101,119,201,91,82,
129,99,97,90,113,66,87,120,201,96,79,
128,102,95,90,99,66,102,120,199,95,80,
128,105,95,91,112,67,89,119,201,91,82,
129,100,97,90,99,66,100,120,201,96,79,
128,102,95,90,113,66,89,120,199,95,80,
128,105,95,91,98,67,101,119,201,92,81,
128,100,97,90,113,66,88,120,201,96,79,
128,102,95,90,99,66,102,120,200,95,80,
128,104,95,91,112,67,89,119,200,92,81,
128,100,97,90,99,66,100,120,201,95,79,
128,102,95,90,113,66,89,120,200,95,80,
128,104,95,91,98,67,101,119,200,92,81,
128,100,97,90,112,66,88,120,201,95,79,
128,102,95,90,99,66,101,120,200,95,80,
128,104,95,91,112,67,89,119,200,92,81,
128,100,97,90,98,66,100,120,201,95,80,
128,102,95,90,113,66,89,120,200,95,80,
128,104,95,91,98,67,101,119,200,92,81,
128,101,97,90,112,66,88,120,201,95,80,
128,102,95,90,99,66,101,120,200,95,80,
128,104,95,91,112,67,89,119,200,92,81,
128,101,97,90,98,66,100,120,201,95,80,
128,102,95,90,113,66,89,120,200,95,80,
128,104,95,91,98,67,101,119,200,93,81,
128,101,97,90,112,66,88,120,201,95,80,
128,102,95,90,99,66,101,120,200,95,80,
128,104,95,91,112,67,89,119,200,93,81,
128,101,97,90,98,66,100,120,201,95,80,
128,102,95,90,113,66,89,120,200,95,80,
128,104,95,91,98,67,101,119,200,93,81,
128,101,97,90,112,66,88,120,201,95,80,
128,102,96,90,99,66,101,120,200,95,80,
128,104,95,91,112,67,89,119,200,93,81,
128,101,96,90,98,66,100,120,201,94,80,
128,102,96,90,113,66,89,120,200,95,80,
128,103,95,91,98,67,101,119,200,93,81,
128,101,96,90,112,66,88,120,201,94,80,
128,102,96,90,99,66,101,120,200,95,80,
