art,bio,che,eng,fre,ger,spa,mat,mus,phy,soc,
0,2,2,2,0.4,0,0.6,2,0,2,2,
125,80,69,92,97,67,108,100,196,66,75,
129,67,82,90,109,71,84,104,206,70,70,
130,58,79,89,103,61,99,110,199,90,62,
125,79,70,91,111,67,94,100,196,67,74,
129,68,82,90,95,71,96,104,206,70,70,
130,58,79,90,117,61,87,109,199,89,62,
125,78,70,91,98,67,107,101,197,68,74,
129,68,81,90,109,71,85,104,205,70,71,
130,59,79,90,102,62,99,109,199,88,62,
125,77,71,91,112,66,93,101,197,69,73,
129,69,81,91,95,70,97,104,205,70,71,
130,59,79,90,116,62,87,109,200,87,63,
126,76,71,91,98,66,106,102,197,70,73,
129,69,80,91,109,70,86,104,204,70,71,
130,60,79,90,102,63,99,109,200,86,63,
126,75,72,91,112,66,93,102,197,71,72,
128,69,80,91,96,70,98,104,204,70,71,
130,60,79,90,116,63,87,108,200,85,64,
126,75,72,91,98,66,105,102,197,72,72,
128,70,79,91,109,70,86,104,204,70,71,
130,61,79,90,101,63,99,108,200,84,64,
126,74,72,91,112,66,92,103,197,72,71,
128,70,79,91,96,70,99,103,203,70,71,
130,61,79,90,115,64,87,108,200,84,64,
126,73,73,91,99,66,105,103,197,73,71,
128,70,79,91,110,69,87,103,203,70,71,
130,62,79,90,101,64,99,108,200,83,65,
126,73,73,91,113,66,92,103,198,73,71,
128,70,78,91,96,69,99,103,203,70,71,
129,62,79,90,115,64,87,107,201,82,65,
127,72,73,91,99,66,104,103,198,74,70,
128,70,78,91,110,69,87,103,202,70,71,
129,63,79,90,100,64,99,107,201,82,65,
127,72,73,91,113,65,91,103,198,74,70,
128,70,78,91,96,69,100,103,202,71,71,
129,63,79,90,114,65,87,107,201,81,66,
127,71,74,91,99,65,104,104,198,75,70,
128,70,78,91,110,69,88,103,202,71,71,
129,63,79,90,100,65,99,107,201,81,66,
127,71,74,91,113,65,91,104,198,75,70,
128,70,77,91,97,69,100,103,202,71,71,
129,64,79,90,114,65,87,107,201,80,66,
127,71,74,91,99,65,103,104,198,75,70,
128,70,77,91,111,68,88,103,202,71,71,
129,64,79,90,99,65,99,107,201,80,66,
127,70,74,91,113,65,90,104,198,75,69,
128,70,77,91,97,68,101,104,201,71,71,
129,64,79,90,113,65,87,106,201,79,67,
127,70,75,91,99,65,103,104,199,76,69,
128,70,77,91,111,68,88,104,201,72,71,
129,65,78,90,99,65,99,106,201,79,67,
127,70,75,91,113,65,90,104,199,76,69,
128,70,77,91,97,68,101,104,201,72,71,
129,65,78,90,113,66,87,106,201,79,67,
