art,bio,che,eng,fre,ger,spa,mat,mus,phy,soc,
133,134,121,138,166,72,165,141,211,114,115,
138,106,149,134,160,77,139,148,221,121,104,
140,90,140,135,180,63,150,159,213,167,90,
133,133,122,138,166,73,164,142,211,114,115,
138,105,148,134,161,76,140,148,221,124,104,
140,92,139,135,179,64,151,158,213,164,91,
134,131,123,138,166,73,163,142,212,115,114,
138,104,148,134,162,75,140,149,220,126,103,
140,94,139,135,178,64,151,157,213,162,92,
134,130,125,138,166,73,162,142,212,115,113,
138,104,147,134,162,75,141,149,220,127,103,
139,96,138,135,178,65,152,157,213,160,93,
134,129,126,137,165,73,161,143,212,116,113,
138,103,147,134,163,74,142,150,220,129,102,
139,97,137,135,177,65,152,156,213,157,94,
134,127,127,137,165,73,160,143,213,117,112,
138,103,146,134,164,74,142,150,219,130,102,
139,99,137,135,177,66,153,155,213,155,95,
135,126,128,137,165,73,159,143,213,117,112,
138,103,146,134,165,74,143,150,219,132,101,
139,100,136,135,176,66,153,155,213,154,96,
135,125,129,137,165,73,158,144,213,118,111,
138,103,145,134,165,73,143,150,219,133,101,
139,101,136,135,175,66,153,154,213,152,97,
135,124,129,137,165,73,157,144,214,119,111,
138,103,145,134,166,73,144,151,218,134,101,
138,103,136,135,175,67,154,154,213,150,98,
135,123,130,137,165,73,157,144,214,120,110,
138,103,144,135,166,72,144,151,218,135,101,
138,104,135,136,174,67,154,153,213,149,98,
135,122,131,137,165,73,156,145,214,120,110,
138,103,144,135,167,72,145,151,218,135,101,
138,105,135,136,174,67,154,153,213,147,99,
135,121,132,137,165,73,155,145,214,121,109,
138,103,144,135,167,72,145,151,218,136,101,
138,105,135,136,174,68,154,152,213,146,99,
136,120,132,136,165,73,155,145,214,122,109,
138,103,143,135,167,72,146,151,217,136,100,
138,106,135,136,173,68,154,152,213,145,100,
136,119,133,136,165,73,154,146,215,123,109,
138,103,143,135,168,72,146,151,217,137,100,
138,107,135,136,173,68,154,152,213,144,100,
136,118,133,136,166,73,154,146,215,123,108,
138,103,142,135,168,71,146,151,217,137,100,
138,107,135,136,172,68,154,151,213,143,101,
136,118,134,136,166,73,154,146,215,124,108,
138,103,142,135,168,71,147,151,217,137,100,
138,108,135,136,172,69,154,151,214,142,101,
136,117,134,136,166,73,153,146,215,125,107,
138,104,142,135,168,71,147,151,217,138,100,
137,108,135,136,172,69,154,151,214,141,101,
136,116,134,136,166,73,153,147,215,125,107,
138,104,141,135,168,71,147,151,217,138,101,
137,109,135,136,171,69,154,151,214,140,102,
